"YearWeek","ExcludedCases","PendingCases","ConfirmedCases"
"201305",21,0,10
"201306",20,0,12
"201307",21,0,16
"201308",20,0,31
"201309",27,0,17
"201310",16,0,24
"201311",25,0,29
"201312",27,0,21
"201313",33,0,43
"201314",36,0,46
"201315",37,0,41
"201316",46,0,26
"201317",40,0,40
"201318",25,0,45
"201319",34,0,38
"201320",12,0,26
"201321",29,0,41
"201322",22,0,36
"201323",21,0,38
"201324",11,0,35
"201325",13,0,23
"201326",23,0,21
"201327",13,0,20
"201328",17,0,11
"201329",11,0,7
"201330",8,0,11
"201331",8,0,9
"201332",12,0,7
"201333",6,0,11
"201334",7,0,12
"201335",8,0,10
"201336",11,0,11
"201337",17,0,13
"201338",12,0,4
"201339",11,0,5
"201340",9,0,2
"201341",16,0,10
"201342",14,0,5
"201343",21,0,5
"201344",13,0,6
"201345",14,0,5
"201346",19,0,6
"201347",18,0,8
"201348",24,0,9
"201349",18,0,12
"201350",18,0,17
"201351",29,0,19
"201352",21,0,26
"201401",32,0,56
"201402",44,0,101
"201403",50,0,100
"201404",68,0,112
"201405",70,0,130
"201406",54,0,159
"201407",70,0,121
"201408",67,0,134
"201409",90,0,143
"201410",64,0,99
"201411",69,0,93
"201412",63,0,53
"201413",59,0,41
"201414",57,0,39
"201415",66,0,21
"201416",34,0,20
"201417",32,0,19
"201418",43,0,24
"201419",35,0,14
"201420",27,0,24
"201421",32,0,19
"201422",21,0,18
"201423",25,0,15
"201424",19,0,23
"201425",33,0,18
"201426",22,0,15
"201427",26,0,13
"201428",26,0,14
"201429",25,0,19
"201430",23,0,12
"201431",16,0,10
"201432",12,0,4
"201433",9,0,3
"201434",6,0,4
"201435",10,0,2
"201436",10,0,8
"201437",10,0,8
"201438",8,0,6
"201439",15,0,3
"201440",11,0,2
"201441",16,0,1
"201442",16,0,2
"201443",10,0,1
"201444",15,0,1
"201445",8,0,1
"201446",6,0,0
"201447",12,0,1
"201448",14,0,2
"201449",16,0,0
"201450",9,0,0
"201451",11,0,2
"201452",15,0,2
"201453",16,0,1
"201501",17,0,9
"201502",14,0,8
"201503",23,0,10
"201504",24,0,14
"201505",23,0,21
"201506",25,0,24
"201507",26,0,21
"201508",20,0,17
"201509",15,0,28
"201510",21,0,18
"201511",24,0,36
"201512",23,0,41
"201513",19,0,24
"201514",20,0,23
"201515",20,0,29
"201516",16,0,21
"201517",20,0,27
"201518",23,0,21
"201519",21,0,31
"201520",22,0,30
"201521",29,0,29
"201522",19,0,43
"201523",23,0,54
"201524",27,0,44
"201525",20,0,34
"201526",12,0,27
"201527",9,0,19
"201528",15,0,22
"201529",8,0,7
"201530",10,0,14
"201531",10,0,9
"201532",14,0,6
"201533",7,0,4
"201534",10,0,12
"201535",17,0,8
"201536",12,0,8
"201537",10,0,3
"201538",13,0,1
"201539",11,0,4
"201540",8,0,0
"201541",8,0,1
"201542",10,0,1
"201543",5,0,3
"201544",11,0,4
"201545",8,0,4
"201546",15,0,5
"201547",10,0,3
"201548",15,0,6
"201549",13,0,3
"201550",13,0,8
"201551",19,0,11
"201552",18,0,14
"201601",23,0,30
"201602",23,0,34
"201603",22,0,67
"201604",37,0,83
"201605",57,0,155
"201606",84,0,214
"201607",96,0,311
"201608",125,0,305
"201609",135,0,246
"201610",139,0,132
"201611",114,0,77
"201612",96,0,49
"201613",63,0,31
"201614",39,0,18
"201615",32,0,23
"201616",36,0,16
"201617",28,0,11
"201618",28,0,5
"201619",15,0,2
"201620",20,0,2
"201621",19,0,3
"201622",8,0,2
"201623",11,0,2
"201624",12,0,1
"201625",11,0,4
"201626",11,0,1
"201627",12,0,4
"201628",10,0,1
"201629",4,0,3
"201630",14,0,1
"201631",7,0,4
"201632",4,0,1
"201633",5,0,3
"201634",11,0,1
"201635",11,0,2
"201636",10,0,3
"201637",12,0,6
"201638",11,0,3
"201639",11,0,6
"201640",16,0,3
"201641",18,0,7
"201642",24,0,14
"201643",24,0,19
"201644",39,0,20
"201645",25,0,32
"201646",37,0,21
"201647",28,0,25
"201648",39,0,18
"201649",24,0,24
"201650",35,0,8
"201651",34,0,12
"201652",33,0,12
"201701",19,0,19
"201702",29,0,7
"201703",20,0,10
"201704",28,0,6
"201705",29,0,15
"201706",26,0,13
"201707",25,0,12
"201708",18,0,11
"201709",25,0,11
"201710",23,0,12
"201711",17,0,6
"201712",20,0,12
"201713",16,0,13
"201714",16,0,11
"201715",14,0,6
"201716",9,0,13
"201717",19,0,17
"201718",20,0,23
"201719",11,0,22
"201720",15,0,27
"201721",22,0,30
"201722",34,0,54
"201723",33,0,54
"201724",43,0,80
"201725",44,0,84
"201726",33,0,116
"201727",41,0,120
"201728",40,0,110
"201729",35,0,74
"201730",35,0,58
"201731",26,0,44
"201732",30,0,35
"201733",22,0,35
"201734",24,0,20
"201735",16,0,14
"201736",18,0,20
"201737",19,0,11
"201738",13,0,10
"201739",14,0,9
"201740",19,0,6
"201741",18,0,4
"201742",19,0,5
"201743",17,0,7
"201744",15,0,10
"201745",17,0,3
"201746",18,0,2
"201747",20,0,8
"201748",24,0,10
"201749",26,0,8
"201750",24,0,10
"201751",27,0,23
"201752",21,0,17
"201801",38,0,40
"201802",42,0,46
"201803",57,0,49
"201804",56,0,51
"201805",47,0,57
"201806",50,0,56
"201807",46,0,74
"201808",43,0,68
"201809",37,0,36
"201810",26,0,42
"201811",29,0,30
"201812",17,0,23
"201813",23,0,14
"201814",20,0,12
"201815",11,0,12
"201816",9,0,6
"201817",9,0,7
"201818",13,0,11
"201819",8,0,8
"201820",14,0,6
"201821",12,0,10
"201822",7,0,11
"201823",11,0,11
"201824",13,0,11
"201825",10,0,9
"201826",8,0,12
"201827",19,0,17
"201828",18,0,27
"201829",9,0,32
"201830",13,0,22
"201831",17,0,23
"201832",14,0,24
"201833",13,0,28
"201834",8,0,19
"201835",7,0,18
"201836",20,0,26
"201837",9,0,18
"201838",11,0,22
"201839",21,0,14
"201840",12,0,15
"201841",10,0,16
"201842",18,0,15
"201843",18,0,4
"201844",15,0,10
"201845",19,0,12
"201846",12,0,8
"201847",16,0,9
"201848",15,0,12
"201849",19,0,21
"201850",20,0,20
"201851",15,0,20
"201852",21,0,28
"201901",20,0,44
"201902",22,0,60
"201903",41,0,61
"201904",34,0,57
"201905",39,0,54
"201906",37,0,62
"201907",44,0,56
"201908",23,0,82
"201909",35,0,53
"201910",29,0,41
"201911",29,0,35
"201912",37,0,22
"201913",25,0,22
"201914",19,0,35
"201915",24,0,18
"201916",17,0,23
"201917",16,0,44
"201918",19,0,38
"201919",11,0,17
"201920",27,0,29
"201921",21,0,33
"201922",27,0,20
"201923",19,0,42
"201924",30,0,37
"201925",26,0,46
"201926",24,0,25
"201927",29,0,50
"201928",25,0,40
"201929",16,0,61
"201930",29,0,62
"201931",33,0,55
"201932",21,0,46
"201933",17,0,48
"201934",21,0,75
"201935",25,0,50
"201936",39,0,68
"201937",30,0,53
"201938",29,0,71
"201939",23,0,59
"201940",24,0,44
"201941",29,0,40
"201942",25,0,26
"201943",16,0,23
"201944",19,0,20
"201945",19,0,26
"201946",31,0,27
"201947",28,0,27
"201948",13,0,43
"201949",32,0,43
"201950",31,0,39
"201951",45,0,62
"201952",35,0,75
"202001",48,0,100
"202002",57,0,109
"202003",43,0,83
"202004",54,0,70
"202005",49,0,62
"202006",66,0,37
"202007",56,0,15
"202008",53,0,6
"202009",39,0,0
"202010",37,0,0
"202011",33,0,1
"202012",28,0,0
"202013",29,0,0
"202014",29,0,0
"202015",20,0,0
"202016",19,0,0
"202017",22,0,0
