YearWeek,AverageTemperature
201001,15.896714153011233
201002,15.268645487696377
201003,16.061508115835817
201004,16.943759223010712
201005,15.193485780746913
201006,15.200411987388632
201007,17.020671548712766
201008,16.215803251225847
201009,14.985803925005548
201010,16.004748143394025
201011,15.00568019586316
201012,15.01027792397293
201013,15.724879737976783
201014,13.576547010620512
201015,13.771819211632842
201016,14.941359303772463
201017,14.497725501546574
201018,15.831713743343835
201019,14.616352124094911
201020,14.118982287148393
201021,17.003844546272802
201022,15.319329265732275
201023,15.619543559774296
201024,14.134176957740479
201025,15.021452208296314
201026,15.683667311398924
201027,14.428660933134319
201028,15.962262317769856
201029,14.992835398372941
201030,15.308690127366033
201031,15.005587053797475
201032,17.46648163940337
201033,15.607616019024062
201034,14.570312103673658
201035,16.45747773360031
201036,14.42099896039366
201037,15.857615994237001
201038,13.695992064220032
201039,14.334385928068938
201040,15.866343001704056
201041,16.414858134697905
201042,15.854669624760026
201043,15.574562850049379
201044,15.396017225715893
201045,14.248349410784202
201046,15.053092451874006
201047,15.358363148426008
201048,16.922189404721795
201049,16.254750727188423
201050,14.19415754137431
201051,16.32734692524892
201052,15.664245934554891
201101,15.418471473782331
201102,16.753135022046244
201103,17.218523514818408
201104,17.16486937055574
201105,15.440436987333984
201106,16.01650739382249
201107,16.70304846019435
201108,17.393395415030227
201109,15.984741309179663
201110,16.32432182947822
201111,15.44971109125309
201112,15.40590470029553
201113,17.46070240588748
201114,18.050481871181187
201115,16.66829698014711
201116,17.789905258736553
201117,17.194073645009244
201118,16.233383124473573
201119,17.28596374370419
201120,18.50866996377883
201121,16.98087261731999
201122,18.62740757136103
201123,14.48908407057436
201124,17.97679693815641
201125,17.288006761136444
201126,16.948017601549488
201127,17.38485098766794
201128,15.351586555648627
201129,17.165548841529088
201130,17.78839855999543
201131,18.95524529234228
201132,17.0051462884442
201133,16.760988162941747
201134,17.11378998136748
201135,18.577014401771173
201136,18.04295456455412
201137,17.269663980494
201138,18.397912346740995
201139,18.066943192342283
201140,19.023731362893734
201141,17.438254007850094
201142,17.89786568449628
201143,17.918640407328496
201144,16.932454341695134
201145,18.777310296258435
201146,18.82746602074035
201147,18.656744934569524
201148,18.50226507391852
201149,17.406702194609853
201150,18.48664834326151
201151,18.649799878866705
201152,18.275457855538455
201201,19.001670142460668
201202,19.652227440307822
201203,21.219583214070415
201204,19.593195855058326
201205,19.761389162315854
201206,19.514613585193526
201207,17.755509015027254
201208,19.73298708424368
201209,19.904951899000526
201210,22.39318453091139
201211,19.822802183011582
201212,20.401931219492923
201213,20.150892836820667
201214,19.102147298272982
201215,21.498868879774136
201216,21.193199827312494
201217,21.317519471035368
201218,19.702320798564184
201219,22.099723293661626
201220,19.380298649299846
201221,21.454227535259
201222,23.143046796635314
201223,20.04727557506125
201224,20.556734899955767
201225,21.307904724012786
201226,20.789998434175548
201227,19.828031386592215
201228,21.525568732963418
201229,20.47070972197447
201230,22.082613543878946
201231,20.765604556553143
201232,23.31097087334767
201233,21.05379085353708
201234,21.59099030721083
201235,22.802576718329362
201236,20.834202862068924
201237,22.368534790650195
201238,23.524225287871676
201239,20.685606976571208
201240,22.553731747207927
201241,22.704988360467233
201242,23.302936115539307
201243,21.3601702104271
201244,21.352671985764093
201245,23.271077842008452
201246,23.12212862716793
201247,23.1516444818238
201248,23.323607518518088
201249,22.37314226498581
201250,23.361428361268487
201251,23.498254814949355
201252,22.56683860116749
201253,25.2229722078818
201301,23.907038295192017
201302,22.317909554620766
201303,24.24177433800043
201304,22.686546736682466
201305,24.524320688195427
201306,24.971839341003566
201307,23.068569121187636
201308,24.928635246326852
201309,24.45404772156222
201310,24.939334632163394
201311,26.090075132366042
201312,24.023901711252407
201313,23.591561340440972
201314,23.531790752716127
201315,23.6815025749194
201316,24.49621882801392
201317,24.990480189787853
201318,24.99665241161409
201319,25.6070296981723
201320,24.85273317786639
201321,26.35315019999801
201322,24.694844126454942
201323,27.739554963134722
201324,25.70493798116232
201325,24.281997913833237
201326,24.128147809040613
201327,25.74139755919712
201328,25.095347195480294
201329,26.09269531175044
201330,25.9118172790841
201331,25.42563557870589
201332,24.71155561014657
201333,24.103386940381313
201334,25.231604049852365
201335,26.594402633095065
201336,26.011982419754002
201337,24.61203473376402
201338,26.0908392751794
201339,26.36286056590926
201340,25.153570586831496
201341,26.251037965830367
201342,26.215406415183047
201343,25.07411223575863
201344,26.63475473078974
201345,26.8976367336619
201346,27.479788287321153
201347,27.510423933032985
201348,25.138837349893198
201349,25.638566514787374
201350,27.151311658763362
201351,27.20994717931912
201352,27.271093751565164
201401,30.668662392766045
201402,27.4467062496567
201403,28.07126621599634
201404,27.949587176161153
201405,27.706861500825955
201406,26.800085841732017
201407,27.934209143717833
201408,26.462299545539203
201409,27.058190990188976
201410,26.85052896656629
201411,27.456922124031237
201412,29.72886202156794
201413,25.586093732552207
201414,28.17877458576799
201415,25.918953994453343
201416,27.098893470103082
201417,28.6989314031094
201418,27.71341629548702
201419,26.61054696871177
201420,27.01214350763063
201421,28.44620043607479
201422,27.0753915256725
201423,28.06137221722113
201424,27.92964093779249
201425,27.27162422053238
201426,30.106324127713044
201427,28.635454530955247
201428,26.01554839222915
201429,28.266300763905704
201430,27.457215454617412
201431,29.01059072443154
201432,27.40479212145214
201433,28.12173188866746
201434,28.780611079364334
201435,29.180534464803518
201436,27.153638333827143
201437,28.05858897529149
201438,27.957300370221002
201439,27.81807191905777
201440,30.276010862162096
201441,28.954693803091477
201442,27.327983608044992
201443,29.545884979684335
201444,30.78933469989171
201445,29.738799233679746
201446,27.226119477424106
